"Taxon","Fold_Change","Coefficient","P_value","P_value_adj","Significance","Effect_Direction","Theta","AIC"
"OTU_49",1.01922707171698,0.0190445672147345,0.835168946634866,0.9309885189636,"","Increase",4.88599734329144,1188.49588271202
"OTU_50",1.0144779771615,0.0143741719766463,0.858876934438293,0.9309885189636,"","Increase",6.31602240273567,1154.73760041292
"OTU_43",0.901874310915106,-0.103280113512389,0.37811996507317,0.811455929068719,"","Decrease",3.08723152475683,948.472703577296
"OTU_44",0.886590321388991,-0.120372273278265,0.405727964534359,0.811455929068719,"","Decrease",1.98273368502792,973.26611710914
"OTU_46",1.12312811980033,0.116117756337321,0.373772968183223,0.811455929068719,"","Increase",2.46035603831179,960.876411769841
"OTU_45",1.01066447908121,0.0106080146121918,0.9309885189636,0.9309885189636,"","Increase",2.81919496506728,944.123801679099
"OTU_47",0.956993569131831,-0.0439586073722087,0.73861296293124,0.9309885189636,"","Decrease",2.41953818311718,952.75280504274
"OTU_42",0.747635262958759,-0.290840036296476,0.0490960145791329,0.490960145791329,"*","Decrease",1.90828357417329,953.853518411613
"OTU_48",0.968044311887514,-0.0324774160099831,0.808974843263983,0.9309885189636,"","Decrease",2.32801700393575,944.531266601718
"OTU_41",0.808100668501769,-0.213068638491785,0.145108987918702,0.72554493959351,"","Decrease",1.95075451197643,952.931406050639
